"time" "obs"
"1" 1969.92515791476 0.114
"2" 1969.93529680365 0.114
"3" 1969.93552130898 0.13
"4" 1969.93625380518 0.211
"5" 1969.93703957382 0.211
"6" 1969.93802701674 0.346
"7" 1969.93848934551 0.346
"8" 1969.93944063927 0.251
"9" 1969.94170852359 0.251
"10" 1969.94229832572 0.449
"11" 1969.9436891172 0.449
"12" 1969.94717465753 0.251
"13" 1969.94892694064 0.211
"14" 1969.94966133942 0.346
"15" 1969.95256659056 0.295
"16" 1969.95975456621 0.211
"17" 1969.96355022831 0.211
"18" 1969.96588470320 0.251
"19" 1969.97571347032 0.171
"20" 1969.97589992390 0.211
"21" 1969.97615296804 0.211
"22" 1969.97649543379 0.295
"23" 1969.97701484018 0.346
"24" 1969.98051369863 0.295
"25" 1969.98068683409 0.5
"26" 1969.98090372907 0.91
"27" 1969.98110350076 0.91
"28" 1969.98127853881 1.3
"29" 1969.98158675799 1.48
"30" 1969.98185121766 2.21
"31" 1969.98266362253 1.48
"32" 1969.98290905632 1.3
"33" 1969.98329147641 1.3
"34" 1969.98355783866 1.53
"35" 1969.98381468798 1.48
"36" 1969.98676369863 1
"37" 1969.99063926941 0.661
"38" 1969.99424277017 0.5
"39" 1969.99488584475 0.661
"40" 1969.99762557078 0.5
"41" 1969.99899543379 0.449
"42" 1970.00354642314 0.449
"43" 1970.00372526636 0.398
"44" 1970.00960996956 0.398
"45" 1970.01045091324 0.449
"46" 1970.01064307458 0.5
"47" 1970.01083523592 0.581
"48" 1970.01118721461 1.19
"49" 1970.01123858448 1.48
"50" 1970.01136225266 2.35
"51" 1970.01157343988 4.27
"52" 1970.01176560122 4.45
"53" 1970.01209284627 3.91
"54" 1970.01237633181 3.91
"55" 1970.01257990868 4.45
"56" 1970.01274733638 4.45
"57" 1970.01358828006 3.02
"58" 1970.01470509893 2.21
"59" 1970.01677130898 1.67
"60" 1970.01800228311 1.48
"61" 1970.02292808219 0.91
"62" 1970.02378614916 0.91
"63" 1970.02820205479 0.661
"64" 1970.03238013699 0.742
"65" 1970.03297754947 0.581
"66" 1970.03784627093 0.5
"67" 1970.04201293760 0.5
"68" 1970.04229832572 0.91
"69" 1970.04246765601 0.91
"70" 1970.04306126332 1.19
"71" 1970.04369292237 1.94
